Entity,Code,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))","Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Luxembourg,LUX,1984,10.58,67.46
Luxembourg,LUX,1985,9.72,66.17
Luxembourg,LUX,1986,6.23,72.5
Luxembourg,LUX,1987,8.48,70.25
Luxembourg,LUX,1988,7.62,72.4
Luxembourg,LUX,1989,9.75,63.13
Luxembourg,LUX,1990,8.71,61.6
Luxembourg,LUX,1991,9.14,55.89
Luxembourg,LUX,1992,9.95,62.57
Luxembourg,LUX,1993,8.5,63.51
Luxembourg,LUX,1994,11.32,51.91
Luxembourg,LUX,1995,9.14,58.45
Luxembourg,LUX,1996,9.75,54.84
Luxembourg,LUX,1997,14.66,54.09
Luxembourg,LUX,1998,11.89,53.29
Luxembourg,LUX,1999,13.24,46.41
Luxembourg,LUX,2000,11.04,48.06
Luxembourg,LUX,2001,10.17,41.67
Luxembourg,LUX,2002,7.97,44
Madagascar,MDG,2002,2.1,3.5
Malawi,MWI,2002,0.4,2.4
Malaysia,MYS,2002,10.1,27.9
Mali,MLI,2002,0.1,2.8
Malta,MLT,1965,2.23,38.38
Malta,MLT,1967,2.71,30.7
Malta,MLT,1968,3.07,38.06
Malta,MLT,1969,4.92,40.92
Malta,MLT,1970,1.91,35.94
Malta,MLT,1971,3.34,44.2
Malta,MLT,1972,0.61,25.01
Malta,MLT,1973,1.1,29.24
Malta,MLT,1974,2.76,30.44
Malta,MLT,1975,1.24,47.36
Malta,MLT,1976,5.26,38.99
Malta,MLT,1977,3.63,31.18
Malta,MLT,1978,1.86,41.25
Malta,MLT,1979,3.16,40.01
Malta,MLT,1980,4.45,39.62
Malta,MLT,1981,5.35,41.53
Malta,MLT,1982,4.81,39.64
Malta,MLT,1983,6.85,40.18
Malta,MLT,1984,4.58,39.89
Malta,MLT,1985,2.45,47.48
Malta,MLT,1986,5.36,47.48
Malta,MLT,1987,2.22,47.77
Malta,MLT,1988,4.78,35.49
Malta,MLT,1989,4.28,45.36
Malta,MLT,1990,2.9,40.48
Malta,MLT,1991,2.48,44.11
Malta,MLT,1992,4.56,43.76
Malta,MLT,1993,5.12,42.54
Malta,MLT,1994,5.88,40.42
Malta,MLT,1995,2.32,43.33
Malta,MLT,1996,6.5,49.16
Malta,MLT,1997,4.21,38.57
Malta,MLT,1998,5.96,32.29
Malta,MLT,1999,4.8,38.19
Malta,MLT,2000,7.75,35.12
Malta,MLT,2001,5.9,40.76
Malta,MLT,2002,4.53,41.35
Mauritania,MRT,2002,0.6,2.4
Mauritius,MUS,1961,1.73,12.15
Mauritius,MUS,1962,1.24,9.55
Mauritius,MUS,1963,1.68,8.57
Mauritius,MUS,1964,2.01,11.82
Mauritius,MUS,1965,0.62,4.35
Mauritius,MUS,1966,3.26,11.11
Mauritius,MUS,1967,2.4,9.39
Mauritius,MUS,1968,2.43,16.95
Mauritius,MUS,1969,1.01,16.24
Mauritius,MUS,1970,4.67,15.71
Mauritius,MUS,1971,3.7,11.47
Mauritius,MUS,1972,2.63,20.94
Mauritius,MUS,1973,3.45,27.53
Mauritius,MUS,1974,4.33,10.94
Mauritius,MUS,1975,3.36,18.63
Mauritius,MUS,1976,2.47,19.57
Mauritius,MUS,1977,4.77,11.83
Mauritius,MUS,1978,3.38,16.91
Mauritius,MUS,1979,5.76,21.52
Mauritius,MUS,1980,2.22,22.18
Mauritius,MUS,1981,4.7,30.83
Mauritius,MUS,1982,3.89,19.84
Mauritius,MUS,1983,3.18,15.35
Mauritius,MUS,1984,4.39,19.29
Mauritius,MUS,1985,4.14,19.94
Mauritius,MUS,1986,3.78,17.1
Mauritius,MUS,1987,4.08,14.3
Mauritius,MUS,1988,6.18,20.29
Mauritius,MUS,1989,4.65,18.71
Mauritius,MUS,1990,4.21,15.59
Mauritius,MUS,1991,4.85,18.74
Mauritius,MUS,1992,3.25,17.62
Mauritius,MUS,1993,3.42,14.93
Mauritius,MUS,1994,4.38,14.8
Mauritius,MUS,1995,4.13,17.49
Mauritius,MUS,1996,3.48,16.45
Mauritius,MUS,1997,3.22,12.7
Mauritius,MUS,1998,5.01,16.7
Mauritius,MUS,1999,4.34,14.02
Mauritius,MUS,2000,4.04,12.86
Mauritius,MUS,2001,4.21,19.88
Mauritius,MUS,2002,4.95,15.87
Mexico,MEX,1955,2.39,3.66
Mexico,MEX,1956,2.59,4.28
Mexico,MEX,1957,2.88,4.41
Mexico,MEX,1958,2.83,5.58
Mexico,MEX,1959,3.3,5.54
Mexico,MEX,1960,3.21,5.84
Mexico,MEX,1961,3.32,5.71
Mexico,MEX,1962,3,5.47
Mexico,MEX,1963,3.26,5.69
Mexico,MEX,1964,3.19,5.98
Mexico,MEX,1965,3.35,6.64
Mexico,MEX,1966,3.72,6.56
Mexico,MEX,1967,3.72,7.55
